"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"130","black","115,118",130,76.7,160,"150,186"
"131","ford","114,674",131,64.3,124,"178,397"
"132","peters","114,311",132,85.2,190,"134,231"
"133","arnold","113,619",133,83.4,187,"136,315"
"134","robertson","113,250",134,75.3,159,"150,299"
"135","pierce","112,927",135,82.7,186,"136,517"
"136","dunn","112,782",136,82.3,185,"136,955"
"137","crawford","112,756",137,71.3,146,"158,121"
"138","bryant","112,039",138,61,120,"183,761"
"139","carpenter","111,913",139,88.1,211,"127,073"
"140","porter","111,660",140,71.2,148,"156,848"
"141","carroll","111,433",141,85.1,201,"131,020"
"142","elliott","111,092",142,83.9,197,"132,457"
"143","freeman","110,561",143,68,140,"162,686"
"144","mason","110,378",144,71,149,"155,484"
"145","ferguson","110,305",145,77.5,173,"142,256"
"146","obrien","109,973",146,95.3,234,"115,385"
"147","hart","109,563",147,82.7,196,"132,466"
"148","coleman","108,568",148,52,102,"208,624"
"149","warren","107,232",149,72.5,166,"147,906"
"150","jensen","107,210",150,95.4,244,"112,332"
"151","gardner","107,087",151,77.2,182,"138,660"
"152","hicks","106,703",152,69.5,155,"153,618"
"153","stephens","106,193",153,76.5,181,"138,742"
"154","henry","105,002",154,65.1,142,"161,392"
"155","gordon","104,968",155,67.8,151,"154,934"
"156","burke","104,564",156,87.7,229,"119,175"
"157","weber","103,098",157,95.6,252,"107,866"
"158","duncan","102,875",158,78.9,203,"130,419"
"159","richards","102,709",159,81.7,215,"125,653"
"160","woods","102,436",160,60.7,133,"168,814"
"161","hanson","102,392",161,93.9,251,"109,079"
"162","lane","102,158",162,79.4,209,"128,727"
"163","payne","101,713",163,73.7,183,"138,028"
"164","chapman","101,648",164,81.6,218,"124,614"
"165","schultz","101,015",165,96.2,261,"104,962"
"166","wheeler","100,742",166,82.8,223,"121,684"
"167","ray","99,931",167,77.6,208,"128,794"
"168","cunningham","99,661",168,75.6,198,"131,896"
"169","walsh","98,984",169,95.9,265,"103,216"
"170","knight","98,618",170,74.8,199,"131,860"
