JABLONSKI	7,125	3300	97.1	4455	7,336
CASTO	7,122	3301	94.6	4360	7,528
MINNICK	7,116	3302	94.6	4363	7,525
FRANKE	7,113	3303	96.4	4441	7,375
HECHT	7,113	3303	97.0	4457	7,333
STROUP	7,112	3305	95.8	4419	7,423
DYSON	7,111	3306	61.8	2869	11,502
MORRILL	7,111	3306	95.3	4396	7,458
BALLINGER	7,110	3308	90.2	4165	7,880
ALLMAN	7,109	3309	90.2	4168	7,879
YAGER	7,109	3309	95.8	4425	7,417
MICKELSON	7,109	3309	96.0	4430	7,405
MCDEVITT	7,108	3312	97.3	4462	7,308
RASH	7,102	3313	90.4	4180	7,860
CLOUTIER	7,096	3314	95.5	4411	7,434
REITZ	7,095	3315	96.3	4443	7,371
UNRUH	7,095	3315	97.2	4473	7,296
FURR	7,094	3317	88.4	4087	8,021
SEBASTIAN	7,092	3318	65.2	3055	10,878
REDDEN	7,087	3319	80.8	3712	8,769
VANWINKLE	7,087	3319	92.9	4301	7,630
BROGAN	7,086	3321	96.3	4445	7,362
GRESHAM	7,083	3322	63.4	2963	11,173
PENNY	7,083	3322	73.7	3410	9,615
WHITED	7,078	3324	93.8	4350	7,549
ROMEO	7,072	3325	86.4	3984	8,184
DUPRE	7,070	3326	87.6	4045	8,072
FERRARI	7,070	3326	91.1	4230	7,759
SHELBY	7,067	3328	60.8	2826	11,624
GARMAN	7,064	3329	95.1	4416	7,428
PEOPLES	7,057	3330	40.0	1869	17,664
OSBURN	7,056	3331	92.0	4274	7,673
SAMSON	7,054	3332	70.2	3265	10,053
LATIMER	7,051	3333	72.7	3369	9,705
KRESS	7,047	3334	96.9	4489	7,269
PICARD	7,046	3335	91.8	4271	7,679
MERRICK	7,043	3336	84.2	3910	8,360
TREADWAY	7,042	3337	90.7	4228	7,760
NALL	7,040	3338	85.9	3979	8,200
BRATTON	7,039	3339	77.8	3609	9,053
WOOLDRIDGE	7,039	3339	90.4	4216	7,790
FORTIER	7,033	3341	93.2	4352	7,543
TRACEY	7,032	3342	87.4	4065	8,046
JIMENEZ	7,023	3343	4.5	147	157,475
FELLOWS	7,023	3343	90.7	4236	7,745
LEA	7,021	3345	73.2	3414	9,597
SCARBROUGH	7,021	3345	86.7	4023	8,100
VENTURA	7,019	3347	26.2	1196	26,769
FARRINGTON	7,017	3348	80.0	3714	8,766
HINTZ	7,012	3349	96.8	4511	7,242
TABER	7,008	3350	93.9	4392	7,467
HERRIN	7,007	3351	91.4	4284	7,667
FARROW	7,004	3352	68.1	3196	10,282
MCGREW	7,004	3352	77.9	3629	8,988
HAZEN	7,003	3354	95.3	4451	7,345
CASS	7,002	3355	91.0	4261	7,695
MAURO	6,999	3356	93.5	4389	7,483
STIDHAM	6,999	3356	94.8	4437	7,386
LINVILLE	6,998	3358	95.2	4447	7,354
HOLCOMBE	6,992	3359	87.5	4105	7,989
SCHLEGEL	6,990	3360	96.7	4519	7,228
ROMINE	6,988	3361	93.8	4403	7,452
SOARES	6,982	3362	72.5	3403	9,633
FINCHER	6,982	3362	88.4	4153	7,898
RUPERT	6,982	3362	88.7	4173	7,875
CRISWELL	6,980	3365	86.8	4074	8,038
BUDD	6,980	3365	88.0	4130	7,936
MCKEON	6,979	3367	96.2	4503	7,255
YOUNGER	6,978	3368	66.8	3158	10,444
TEAL	6,974	3369	80.0	3737	8,716
KREMER	6,969	3370	97.3	4549	7,160
TIMMERMAN	6,968	3371	96.1	4507	7,252
SALAZAR	6,967	3372	6.1	240	113,468
DERR	6,966	3373	94.0	4428	7,411
PELLEGRINO	6,964	3374	96.2	4512	7,237
GERLACH	6,960	3375	96.9	4536	7,181
KNUDSON	6,959	3376	96.7	4532	7,196
FONTANA	6,957	3377	92.5	4363	7,525
JOHNSEN	6,956	3378	94.2	4439	7,381
LINDGREN	6,954	3379	95.8	4502	7,256
LANGLOIS	6,953	3380	94.9	4459	7,325
POMEROY	6,952	3381	95.4	4480	7,288
GUERRA	6,947	3382	12.7	554	54,575
BREEDLOVE	6,945	3383	80.1	3754	8,673
BELT	6,945	3383	82.5	3874	8,422
SPRADLIN	6,939	3385	95.7	4505	7,253
SCOGGINS	6,934	3386	86.2	4064	8,048
ELLIOT	6,933	3387	79.6	3738	8,714
JOBE	6,932	3388	86.9	4115	7,977
JENSON	6,926	3389	92.0	4357	7,532
SCHLOSSER	6,926	3389	96.7	4544	7,166
DENNING	6,925	3391	91.0	4316	7,611
FAZIO	6,923	3392	95.3	4492	7,267
SHINN	6,921	3393	86.3	4090	8,019
RUDY	6,913	3394	94.8	4473	7,296
FIEDLER	6,913	3394	96.8	4559	7,144
MERCIER	6,911	3396	89.1	4233	7,753
KEELING	6,905	3397	85.2	4023	8,100
EARNEST	6,905	3397	87.8	4177	7,865
KLING	6,905	3397	96.1	4535	7,183
KUEHN	6,901	3400	96.7	4561	7,139
CARNAHAN	6,894	3401	96.1	4537	7,177
BANDY	6,892	3402	81.8	3870	8,426
BUNKER	6,891	3403	94.7	4487	7,276
JANES	6,890	3404	92.0	4384	7,489
BRATCHER	6,889	3405	81.3	3855	8,469
LILLEY	6,889	3405	90.8	4332	7,589
BELLAMY	6,888	3407	43.5	2101	15,850
BALLEW	6,886	3408	90.4	4311	7,616
KOESTER	6,882	3409	97.8	4609	7,036
LUNDGREN	6,874	3410	96.6	4571	7,119
LEAR	6,873	3411	89.4	4266	7,689
BOREN	6,872	3412	95.0	4517	7,232
HENDRICK	6,871	3413	86.5	4128	7,939
FLORA	6,865	3414	91.2	4359	7,529
MARKLEY	6,864	3415	95.7	4538	7,176
WOODSON	6,862	3416	41.6	2014	16,496
MCLEMORE	6,862	3416	65.7	3157	10,448
TRUITT	6,862	3416	74.1	3526	9,257
BOURNE	6,859	3419	77.2	3673	8,884
RHEA	6,859	3419	87.4	4188	7,847
ABNEY	6,856	3421	70.4	3355	9,743
BERLIN	6,854	3422	94.4	4501	7,259
HOULE	6,853	3423	89.0	4258	7,698
SACHS	6,852	3424	95.6	4545	7,165
MCCALLISTER	6,849	3425	88.2	4221	7,769
GANDY	6,847	3426	68.5	3290	9,990
BLYTHE	6,843	3427	87.4	4200	7,827
FRANCISCO	6,842	3428	38.1	1833	17,976
ECHOLS	6,838	3429	49.8	2417	13,741
MARTEL	6,834	3430	81.7	3908	8,362
WICKS	6,832	3431	74.3	3549	9,190
FREUND	6,830	3432	95.8	4567	7,126
CUPP	6,830	3432	96.1	4579	7,104
MCVAY	6,828	3434	87.4	4205	7,811
REISS	6,826	3435	96.5	4590	7,072
MCKEOWN	6,824	3436	94.8	4529	7,199
JORGENSON	6,824	3436	95.4	4554	7,150
MARTELL	6,823	3438	71.3	3424	9,568
WESTPHAL	6,822	3439	96.5	4592	7,071
PRESSLEY	6,815	3440	55.9	2712	12,182
TALLMAN	6,814	3441	91.6	4406	7,439
LOVEJOY	6,812	3442	84.2	4032	8,090
RIDGEWAY	6,808	3443	77.4	3706	8,791
DESTEFANO	6,808	3443	95.8	4581	7,103
HUNDLEY	6,807	3445	81.2	3891	8,382
BUCKINGHAM	6,807	3445	86.9	4199	7,829
VOIGT	6,807	3445	96.0	4584	7,092
SCROGGINS	6,806	3448	74.8	3590	9,093
WHEATON	6,805	3449	78.6	3758	8,662
WINSTEAD	6,805	3449	80.3	3848	8,478
HARBIN	6,805	3449	82.4	3949	8,259
SETTLE	6,804	3452	84.3	4042	8,074
MATHESON	6,804	3452	93.2	4468	7,302
CUSHMAN	6,803	3454	94.9	4542	7,171
HOCH	6,803	3454	96.5	4605	7,048
DRIGGERS	6,800	3456	93.9	4510	7,243
DENHAM	6,799	3457	85.9	4143	7,913
PLANTE	6,799	3457	94.8	4543	7,170
CRITES	6,797	3459	96.3	4599	7,061
BIANCO	6,796	3460	82.6	3961	8,228
AGNEW	6,795	3461	70.5	3398	9,644
BOLING	6,795	3461	92.6	4454	7,338
GATLIN	6,791	3463	66.8	3226	10,162
SHERRY	6,789	3464	93.6	4505	7,253
WINDSOR	6,787	3465	90.7	4391	7,479
OSTROWSKI	6,785	3466	97.2	4647	6,980
MALCOLM	6,782	3467	70.3	3399	9,643
ROHDE	6,782	3467	96.8	4630	7,004
SILVERS	6,781	3469	92.0	4442	7,372
KERSEY	6,777	3470	84.5	4087	8,021
BATSON	6,774	3471	78.6	3778	8,613
RALPH	6,765	3472	84.7	4106	7,987
MACLEAN	6,761	3473	94.9	4566	7,127
AMARAL	6,757	3474	79.4	3833	8,510
CRUSE	6,757	3474	80.2	3874	8,422
GREENLEE	6,755	3476	79.2	3819	8,531
RUTTER	6,754	3477	96.3	4622	7,014
GLASGOW	6,753	3478	78.3	3774	8,621
CARVALHO	6,748	3479	73.9	3569	9,131
BARNETTE	6,746	3480	80.7	3905	8,363
OGRADY	6,746	3480	96.0	4617	7,024
VALDEZ	6,745	3482	6.8	283	98,610
PETER	6,745	3482	77.9	3758	8,662
LEMIEUX	6,745	3482	92.0	4456	7,334
ULMER	6,742	3485	83.7	4059	8,051
THORNBURG	6,742	3485	94.2	4551	7,156
GRIM	6,736	3487	93.1	4514	7,233
SWEAT	6,734	3488	77.6	3752	8,679
KEEL	6,733	3489	81.9	3971	8,218
SELLS	6,729	3490	82.4	3992	8,165
SNOWDEN	6,725	3491	62.3	3081	10,788
GINN	6,725	3491	84.8	4134	7,928
GOSNELL	6,725	3491	96.2	4640	6,988
BOOTHE	6,724	3494	81.9	3973	8,215
JUNG	6,720	3495	38.6	1896	17,395
HOPSON	6,720	3495	55.8	2748	12,050
PRENTICE	6,718	3497	86.1	4212	7,799
BERNHARDT	6,713	3498	95.0	4594	7,068
NAPOLITANO	6,713	3498	95.4	4612	7,034
COGGINS	6,712	3500	85.3	4176	7,868
SACCO	6,712	3500	95.8	4627	7,008
FELIX	6,703	3502	21.2	1011	31,631
HALES	6,701	3503	86.5	4238	7,743
JOHNSTONE	6,700	3504	92.7	4520	7,227
ALCORN	6,699	3505	86.8	4247	7,716
WALZ	6,699	3505	96.3	4660	6,957
BINKLEY	6,698	3507	95.2	4608	7,038
WEIGEL	6,697	3508	97.0	4694	6,906
NULL	6,695	3509	94.7	4590	7,072
DOMBROWSKI	6,695	3509	97.4	4718	6,873
EARLE	6,694	3511	79.9	3900	8,373
HAIR	6,693	3512	81.3	3959	8,231
GUFFEY	6,690	3513	95.6	4635	6,995
MATTESON	6,690	3513	96.3	4667	6,949
MOLLOY	6,687	3515	95.7	4643	6,986
LANGER	6,687	3515	96.5	4679	6,929
CLEGG	6,684	3517	86.5	4244	7,723
MANGUM	6,681	3518	72.1	3521	9,271
ROSENBERGER	6,680	3519	97.2	4716	6,875
BICKEL	6,677	3520	96.7	4695	6,903
ANGELO	6,676	3521	87.5	4301	7,630
